Season,Lg,Champion,MVP,ROY,PTS,TRB,AST,WS,mvp_player_id,roy_player_id,pts_player_id,trb_player_id,ast_player_id,ws_player_id,TeamID
1980,NBA,LOS ANGELES LAKERS,K. Abdul-Jabbar,L. Bird,G. Gervin (2585),S. Nater (1216),M. Richardson (832),K. Abdul-Jabbar (14.8),abdulka01,birdla01,gervige01,natersw01,richami01,abdulka01,LAL
1979,NBA,SEATTLE SUPERSONICS,M. Malone,P. Ford,G. Gervin (2365),M. Malone (1444),K. Porter (1099),K. Abdul-Jabbar (14.4),malonmo01,fordph01,gervige01,malonmo01,porteke01,abdulka01,SEA
1978,NBA,WASHINGTON BULLETS,B. Walton,W. Davis,G. Gervin (2232),T. Robinson (1288),K. Porter (837),D. Thompson (12.7),waltobi01,daviswa03,gervige01,robintr01,porteke01,thompda01,WSB
1977,NBA,PORTLAND TRAIL BLAZERS,K. Abdul-Jabbar,A. Dantley,P. Maravich (2273),K. Abdul-Jabbar (1090),D. Buse (685),K. Abdul-Jabbar (17.8),abdulka01,dantlad01,maravpe01,abdulka01,busedo01,abdulka01,POR
1976,NBA,BOSTON CELTICS,K. Abdul-Jabbar,A. Adams,B. McAdoo (2427),K. Abdul-Jabbar (1383),S. Watts (661),K. Abdul-Jabbar (17.0),abdulka01,adamsal01,mcadobo01,abdulka01,wattssl01,abdulka01,BOS
1975,NBA,GOLDEN STATE WARRIORS,B. McAdoo,J. Wilkes,B. McAdoo (2831),B. McAdoo (1155),K. Porter (650),B. McAdoo (17.8),mcadobo01,wilkeja01,mcadobo01,mcadobo01,porteke01,mcadobo01,GSW
1974,NBA,BOSTON CELTICS,K. Abdul-Jabbar,E. DiGregorio,B. McAdoo (2261),E. Hayes (1463),E. DiGregorio (663),K. Abdul-Jabbar (18.4),abdulka01,digreer01,mcadobo01,hayesel01,digreer01,abdulka01,BOS
1973,NBA,NEW YORK KNICKS,D. Cowens,B. McAdoo,T. Archibald (2719),W. Chamberlain (1526),T. Archibald (910),K. Abdul-Jabbar (21.9),cowenda01,mcadobo01,architi01,chambwi01,architi01,abdulka01,NYK
1972,NBA,LOS ANGELES LAKERS,K. Abdul-Jabbar,S. Wicks,K. Abdul-Jabbar (2822),W. Chamberlain (1572),L. Wilkens (766),K. Abdul-Jabbar (25.4),abdulka01,wickssi01,abdulka01,chambwi01,wilkele01,abdulka01,LAL
1971,NBA,MILWAUKEE BUCKS,K. Abdul-Jabbar,"D. Cowens, G. Petrie",K. Abdul-Jabbar (2596),W. Chamberlain (1493),N. Van Lier (832),K. Abdul-Jabbar (22.3),abdulka01,cowenda01,abdulka01,chambwi01,vanlino01,abdulka01,MIL
1970,NBA,NEW YORK KNICKS,W. Reed,K. Abdul-Jabbar,K. Abdul-Jabbar (2361),E. Hayes (1386),L. Wilkens (683),J. West (15.2),reedwi01,abdulka01,abdulka01,hayesel01,wilkele01,westje01,NYK
1969,NBA,BOSTON CELTICS,W. Unseld,W. Unseld,E. Hayes (2327),W. Chamberlain (1712),O. Robertson (772),W. Reed (14.7),unselwe01,unselwe01,hayesel01,chambwi01,roberos01,reedwi01,BOS
