Season,Lg,Champion,MVP,ROY,PTS,TRB,AST,WS,mvp_player_id,roy_player_id,pts_player_id,trb_player_id,ast_player_id,ws_player_id
2019-20,NBA,,G. Antetokounmpo,J. Morant,J. Harden (2335),R. Gobert (916),L. James (684),J. Harden (13.1),antetgi01,moranja01,hardeja01,goberru01,jamesle01,hardeja01
2018-19,NBA,Toronto Raptors,G. Antetokounmpo,L. Doncic,J. Harden (2818),A. Drummond (1232),R. Westbrook (784),J. Harden (15.2),antetgi01,doncilu01,hardeja01,drumman01,westbru01,hardeja01
2017-18,NBA,Golden State Warriors,J. Harden,B. Simmons,L. James (2251),A. Drummond (1247),R. Westbrook (820),J. Harden (15.4),hardeja01,simmobe01,jamesle01,drumman01,westbru01,hardeja01
2016-17,NBA,Golden State Warriors,R. Westbrook,M. Brogdon,R. Westbrook (2558),A. Drummond (1115),J. Harden (907),J. Harden (15.0),westbru01,brogdma01,westbru01,drumman01,hardeja01,hardeja01
2015-16,NBA,Cleveland Cavaliers,S. Curry,K. Towns,J. Harden (2376),A. Drummond (1198),R. Rondo (839),S. Curry (17.9),curryst01,townska01,hardeja01,drumman01,rondora01,curryst01
2014-15,NBA,Golden State Warriors,S. Curry,A. Wiggins,J. Harden (2217),D. Jordan (1226),C. Paul (838),J. Harden (16.4),curryst01,wiggian01,hardeja01,jordade01,paulch01,hardeja01
2013-14,NBA,San Antonio Spurs,K. Durant,M. Carter-Williams,K. Durant (2593),D. Jordan (1114),J. Wall (721),K. Durant (19.2),duranke01,cartemi01,duranke01,jordade01,walljo01,duranke01
2012-13,NBA,Miami Heat,L. James,D. Lillard,K. Durant (2280),Ö. A??k (956),G. Vásquez (704),L. James (19.3),jamesle01,lillada01,duranke01,asikom01,vasqugr01,jamesle01
2011-12,NBA,Miami Heat,L. James,K. Irving,K. Durant (1850),D. Howard (785),S. Nash (664),L. James (14.5),jamesle01,irvinky01,duranke01,howardw01,nashst01,jamesle01
2010-11,NBA,Dallas Mavericks,D. Rose,B. Griffin,K. Durant (2161),K. Love (1112),S. Nash (855),L. James (15.6),rosede01,griffbl01,duranke01,loveke01,nashst01,jamesle01
2009-10,NBA,Los Angeles Lakers,L. James,T. Evans,K. Durant (2472),D. Howard (1082),S. Nash (892),L. James (18.5),jamesle01,evansty01,duranke01,howardw01,nashst01,jamesle01
2008-09,NBA,Los Angeles Lakers,L. James,D. Rose,D. Wade (2386),D. Howard (1093),C. Paul (861),L. James (20.3),jamesle01,rosede01,wadedw01,howardw01,paulch01,jamesle01
2007-08,NBA,Boston Celtics,K. Bryant,K. Durant,K. Bryant (2323),D. Howard (1161),C. Paul (925),C. Paul (17.8),bryanko01,duranke01,bryanko01,howardw01,paulch01,paulch01
2006-07,NBA,San Antonio Spurs,D. Nowitzki,B. Roy,K. Bryant (2430),D. Howard (1008),S. Nash (884),D. Nowitzki (16.3),nowitdi01,roybr01,bryanko01,howardw01,nashst01,nowitdi01
2005-06,NBA,Miami Heat,S. Nash,C. Paul,K. Bryant (2832),D. Howard (1022),S. Nash (826),D. Nowitzki (17.7),nashst01,paulch01,bryanko01,howardw01,nashst01,nowitdi01
2004-05,NBA,San Antonio Spurs,S. Nash,E. Okafor,A. Iverson (2302),K. Garnett (1108),S. Nash (861),K. Garnett (16.1),nashst01,okafoem01,iversal01,garneke01,nashst01,garneke01
2003-04,NBA,Detroit Pistons,K. Garnett,L. James,K. Garnett (1987),K. Garnett (1139),S. Marbury (719),K. Garnett (18.3),garneke01,jamesle01,garneke01,garneke01,marbust01,garneke01
2002-03,NBA,San Antonio Spurs,T. Duncan,A. Stoudemire,K. Bryant (2461),B. Wallace (1126),J. Kidd (711),T. Duncan (16.5),duncati01,stoudam01,bryanko01,wallabe01,kiddja01,duncati01
2001-02,NBA,Los Angeles Lakers,T. Duncan,P. Gasol,P. Pierce (2144),T. Duncan (1042),A. Miller (882),T. Duncan (17.8),duncati01,gasolpa01,piercpa01,duncati01,millean02,duncati01
2000-01,NBA,Los Angeles Lakers,A. Iverson,M. Miller,J. Stackhouse (2380),B. Wallace (1052),J. Kidd (753),S. O'Neal (14.9),iversal01,millemi01,stackje01,wallabe01,kiddja01,onealsh01
1999-00,NBA,Los Angeles Lakers,S. O'Neal,"E. Brand, S. Francis",S. O'Neal (2344),D. Mutombo (1157),G. Payton (732),S. O'Neal (18.6),onealsh01,brandel01,onealsh01,mutomdi01,paytoga01,onealsh01
1998-99,NBA,San Antonio Spurs,K. Malone,V. Carter,S. O'Neal (1289),D. Mutombo (610),J. Kidd (539),K. Malone (9.6),malonka01,cartevi01,onealsh01,mutomdi01,kiddja01,malonka01
1997-98,NBA,Chicago Bulls,M. Jordan,T. Duncan,M. Jordan (2357),D. Rodman (1201),R. Strickland (801),K. Malone (16.4),jordami01,duncati01,jordami01,rodmade01,stricro02,malonka01
1996-97,NBA,Chicago Bulls,K. Malone,A. Iverson,M. Jordan (2431),D. Mutombo (929),M. Jackson (935),M. Jordan (18.3),malonka01,iversal01,jordami01,mutomdi01,jacksma01,jordami01
1995-96,NBA,Chicago Bulls,M. Jordan,D. Stoudamire,M. Jordan (2491),D. Robinson (1000),J. Stockton (916),M. Jordan (20.4),jordami01,stoudda01,jordami01,robinda01,stockjo01,jordami01
1994-95,NBA,Houston Rockets,D. Robinson,"G. Hill, J. Kidd",S. O'Neal (2315),D. Mutombo (1029),J. Stockton (1011),D. Robinson (17.5),robinda01,hillgr01,onealsh01,mutomdi01,stockjo01,robinda01
1993-94,NBA,Houston Rockets,H. Olajuwon,C. Webber,D. Robinson (2383),D. Rodman (1367),J. Stockton (1031),D. Robinson (20.0),olajuha01,webbech01,robinda01,rodmade01,stockjo01,robinda01
1992-93,NBA,Chicago Bulls,C. Barkley,S. O'Neal,M. Jordan (2541),D. Rodman (1132),J. Stockton (987),M. Jordan (17.2),barklch01,onealsh01,jordami01,rodmade01,stockjo01,jordami01
1991-92,NBA,Chicago Bulls,M. Jordan,L. Johnson,M. Jordan (2404),D. Rodman (1530),J. Stockton (1126),M. Jordan (17.7),jordami01,johnsla02,jordami01,rodmade01,stockjo01,jordami01
1990-91,NBA,Chicago Bulls,M. Jordan,D. Coleman,M. Jordan (2580),D. Robinson (1063),J. Stockton (1164),M. Jordan (20.3),jordami01,colemde01,jordami01,robinda01,stockjo01,jordami01
1989-90,NBA,Detroit Pistons,M. Johnson,D. Robinson,M. Jordan (2753),H. Olajuwon (1149),J. Stockton (1134),M. Jordan (19.0),johnsma02,robinda01,jordami01,olajuha01,stockjo01,jordami01
1988-89,NBA,Detroit Pistons,M. Johnson,M. Richmond,M. Jordan (2633),H. Olajuwon (1105),J. Stockton (1118),M. Jordan (19.8),johnsma02,richmmi01,jordami01,olajuha01,stockjo01,jordami01
1987-88,NBA,Los Angeles Lakers,M. Jordan,M. Jackson,M. Jordan (2868),C. Oakley (1066),J. Stockton (1128),M. Jordan (21.2),jordami01,jacksma01,jordami01,oaklech01,stockjo01,jordami01
1986-87,NBA,Los Angeles Lakers,M. Johnson,C. Person,M. Jordan (3041),C. Oakley (1074),M. Johnson (977),M. Jordan (16.9),johnsma02,persoch01,jordami01,oaklech01,johnsma02,jordami01
1985-86,NBA,Boston Celtics,L. Bird,P. Ewing,A. English (2414),B. Laimbeer (1075),M. Johnson (907),L. Bird (15.8),birdla01,ewingpa01,englial01,laimbbi01,johnsma02,birdla01
1984-85,NBA,Los Angeles Lakers,L. Bird,M. Jordan,M. Jordan (2313),M. Malone (1031),I. Thomas (1123),L. Bird (15.7),birdla01,jordami01,jordami01,malonmo01,thomais01,birdla01
1983-84,NBA,Boston Celtics,L. Bird,R. Sampson,A. Dantley (2418),B. Laimbeer (1003),N. Nixon (914),A. Dantley (14.6),birdla01,sampsra01,dantlad01,laimbbi01,nixonno01,dantlad01
1982-83,NBA,Philadelphia 76ers,M. Malone,T. Cummings,A. English (2326),M. Malone (1194),M. Johnson (829),M. Malone (15.1),malonmo01,cummite01,englial01,malonmo01,johnsma02,malonmo01
1981-82,NBA,Los Angeles Lakers,M. Malone,B. Williams,G. Gervin (2551),M. Malone (1188),J. Moore (762),M. Malone (15.4),malonmo01,willibu01,gervige01,malonmo01,moorejo01,malonmo01
1980-81,NBA,Boston Celtics,J. Erving,D. Griffith,A. Dantley (2452),M. Malone (1180),K. Porter (734),K. Abdul-Jabbar (14.3),ervinju01,griffda01,dantlad01,malonmo01,porteke01,abdulka01
1979-80,NBA,Los Angeles Lakers,K. Abdul-Jabbar,L. Bird,G. Gervin (2585),S. Nater (1216),M. Richardson (832),K. Abdul-Jabbar (14.8),abdulka01,birdla01,gervige01,natersw01,richami01,abdulka01
1978-79,NBA,Seattle SuperSonics,M. Malone,P. Ford,G. Gervin (2365),M. Malone (1444),K. Porter (1099),K. Abdul-Jabbar (14.4),malonmo01,fordph01,gervige01,malonmo01,porteke01,abdulka01
1977-78,NBA,Washington Bullets,B. Walton,W. Davis,G. Gervin (2232),T. Robinson (1288),K. Porter (837),D. Thompson (12.7),waltobi01,daviswa03,gervige01,robintr01,porteke01,thompda01
1976-77,NBA,Portland Trail Blazers,K. Abdul-Jabbar,A. Dantley,P. Maravich (2273),K. Abdul-Jabbar (1090),D. Buse (685),K. Abdul-Jabbar (17.8),abdulka01,dantlad01,maravpe01,abdulka01,busedo01,abdulka01
1975-76,NBA,Boston Celtics,K. Abdul-Jabbar,A. Adams,B. McAdoo (2427),K. Abdul-Jabbar (1383),S. Watts (661),K. Abdul-Jabbar (17.0),abdulka01,adamsal01,mcadobo01,abdulka01,wattssl01,abdulka01
