Franchise,Lg,From,To,Yrs,G,W,L,W/L%,Plyfs,Div,Conf,Champ
Minnesota Muskies,ABA,1967-68,1967-68,1,78,50,28,0.641,1,0,0,0
Toronto Huskies,BAA,1946-47,1946-47,1,60,22,38,0.367,0,0,0,0
Utah Stars,ABA,1967-68,1975-76,9,676,366,310,0.541,6,3,0,1
Utah Stars,ABA,1970-71,1975-76,6,436,265,171,0.608,5,3,0,1
Los Angeles Stars,ABA,1968-69,1969-70,2,162,76,86,0.469,1,0,0,0
Anaheim Amigos,ABA,1967-68,1967-68,1,78,25,53,0.321,0,0,0,0
Virginia Squires,ABA,1967-68,1975-76,9,743,326,417,0.439,6,2,0,1
Virginia Squires,ABA,1970-71,1975-76,6,503,200,303,0.398,4,1,0,0
Washington Capitols,ABA,1969-70,1969-70,1,84,44,40,0.524,1,0,0,0
Oakland Oaks,ABA,1967-68,1968-69,2,156,82,74,0.526,1,1,0,1
Washington Capitols,NBA/BAA,1946-47,1950-51,5,271,157,114,0.579,4,2,0,0
Waterloo Hawks,NBA,1949-50,1949-50,1,62,19,43,0.306,0,0,0,0
